Rank,Country,Imports (1000 MT)
1,Indonesia,"11,200"
2,Egypt,"11,000"
3,Turkey,"10,000"
4,China,"9,500"
5,Algeria,"7,900"
6,Bangladesh,"7,500"
7,Morocco,"7,000"
8,Nigeria,"6,500"
9,Brazil,"6,400"
10,Philippines,"6,300"
11,"Iran, Islamic Republic Of","5,500"
12,Japan,"5,300"
13,Mexico,"5,200"
14,EU-27,"5,000"
15,"Korea, Republic Of","4,200"
16,Viet Nam,"3,900"
17,Yemen,"3,700"
18,Uzbekistan,"3,500"
19,Iraq,"3,500"
20,Afghanistan,"3,400"
21,United States,"3,266"
22,Saudi Arabia,"3,000"
23,Thailand,"2,700"
24,Colombia,"2,200"
25,Kenya,"2,200"
26,Peru,"2,100"
27,United Kingdom,"2,000"
28,Malaysia,"1,925"
29,Sudan,"1,900"
30,Tunisia,"1,900"
31,Israel,"1,800"
32,United Arab Emirates,"1,800"
33,Sri Lanka,"1,650"
34,South Africa,"1,650"
35,Syrian Arab Republic,"1,600"
36,Pakistan,"1,500"
37,Ethiopia,"1,500"
38,Chile,"1,500"
39,Ecuador,"1,400"
40,Azerbaijan,"1,400"
41,Libya,"1,400"
42,"Taiwan, Province Of China","1,400"
43,Lebanon,"1,300"
44,Tajikistan,"1,200"
45,Venezuela,"1,200"
46,"Tanzania, United Republic Of","1,100"
47,Jordan,"1,100"
48,Ghana,"1,050"
49,Kazakhstan,"1,000"
50,Angola,"1,000"
51,Cameroon,"1,000"
52,Guatemala,800
53,Mozambique,800
54,Oman,750
55,Cuba,750
56,C̫te D'ivoire,725
57,Somalia,700
58,Senegal,650
59,Dominican Republic,650
60,Canada,600
61,Mauritania,600
62,New Zealand,575
63,Georgia,550
64,Kuwait,520
65,Guinea,500
66,Switzerland,500
67,Bolivia,500
68,Singapore,500
69,Uganda,500
70,Myanmar,475
71,Haiti,460
72,Hong Kong,450
73,"Congo, The Democratic Republic Of The",425
74,Honduras,400
75,Nepal,400
76,Turkmenistan,400
77,Norway,375
78,Benin,375
79,Bosnia and Herzegovina,375
80,El Salvador,360
81,Mali,350
82,Togo,350
83,Burkina Faso,350
84,Armenia,340
85,Costa Rica,330
86,Niger,325
87,Papua New Guinea,325
88,Russian Federation,300
89,Albania,300
90,Belarus,300
91,Chad,250
92,Jamaica,230
93,Panama,210
94,Nicaragua,200
95,Kyrgyzstan,200
96,Madagascar,200
97,"Macedonia, The Former Yugoslav Republic Of",200
98,Australia,200
99,Congo,200
100,Fiji,180
101,Eritrea,175
102,Zimbabwe,175
103,Rwanda,165
104,Mauritius,150
105,Trinidad and Tobago,140
106,Bahrain,140
107,Gabon,125
108,Lesotho,120
109,"Korea, Democratic People's Republic Of",100
110,Ukraine,100
111,Malawi,100
112,Namibia,100
113,Sierra Leone,100
114,"Moldova, Republic Of",60
115,Liberia,50
116,Guyana,50
117,Zambia,50
118,Mongolia,30
119,India,25
120,Barbados,20
121,Bhutan,10
122,Serbia,10
123,Uruguay,10
124,Paraguay,5
125,Argentina,5